,Uniprot,Gene_Name,RBP_flag,SVM_SeqOnly_score,DNN_SeqOnly_score,Network_score_MB,Network_score_MB_STRING,optimistic_DNN_SVM,optimistic_DNNSVM_NetMB_STRING,protein_len,Ensembl Gene ID
0,Q9BVG4,PBDC1,0,0.923163442,0.37707254,0.925113799,0.988113094,0.856843227,1,233,ENSG00000102390
1,Q9Y3C6,PPIL1,0,0.828977591,0.2476722,0.931514783,0.988307606,0.777718017,1,166,ENSG00000137168
2,O15117,FYB1,0,0.978528499,0.9469174,0.271080388,0.215696254,0.978165835,1,783,ENSG00000082074
3,H0YHG0,DJC14,0,0.699899173,0.4208175,0.979636062,0.987054936,0.720833436,0.99756863,523,ENSG00000257390
4,Q13610,PWP1,0,0.854374624,0.4327293,0.892012176,0.981369713,0.802488566,0.996119395,501,ENSG00000136045
5,Q9NWT8,AURKAIP1,0,0.363315453,0.13488773,0.917948256,0.985494235,0.547740322,0.994790681,199,ENSG00000175756
6,P01040,CSTA,0,0.972620706,0.91115344,0.563931471,0.444190735,0.970022755,0.993780807,98,ENSG00000121552
7,Q9NR22,PRMT8,0,0.907143984,0.46833947,0.8620574,0.975074792,0.842027984,0.993505136,394,ENSG00000111218
8,Q6RFH5,WDR74,0,0.742907868,0.5355799,0.89607432,0.979707981,0.746479945,0.993145201,385,ENSG00000133316
9,E9PAV3,NACAM,0,0.21869234,0.54235476,0.920182784,0.98157969,0.599466374,0.992941456,2078,ENSG00000196531
10,Q8WUD4,CCDC12,0,0.938218277,0.14291462,0.909049502,0.968519609,0.850641568,0.992314517,166,ENSG00000160799
11,Q9H009,NACA2,0,0.723365292,0.3355078,0.891351143,0.978178167,0.723987235,0.991953449,215,ENSG00000253506
12,O15069,NACAD,0,0.071533978,0.21265274,0.887360143,0.981829306,0.517155656,0.991932341,1562,ENSG00000136274
13,A6NKT7,RGPD3,0,0.430234845,0.69434595,0.944672624,0.977814585,0.66513887,0.990819709,1758,ENSG00000153165
14,Q8WYA6,CTNNBL1,0,0.812861902,0.533097,0.884132108,0.973205288,0.785451167,0.989587505,563,ENSG00000132792
15,Q58F21,BRDT,0,0.974202694,0.6525838,0.93493537,0.875291374,0.954241446,0.989141573,947,ENSG00000137948
16,A8CG34,P121C,0,0.751066006,0.38248694,0.904880879,0.973813188,0.741570392,0.987622588,1229,ENSG00000272391
17,Q9NQR1,KMT5A,0,0.975591978,0.8895474,0.736341148,0.619228284,0.9668032,0.987314683,393,ENSG00000183955
